"Date";"Total Time Spent";"Task Description (or Github Issue)"
"05.04.2021";"2h";"Issue #2"
"06.04.2021";"2h";"Issue #3"
"07.04.2021";"4h";"Issues #4,#5"
"12.04.2021";"1.5h";"Updates on issues #2,#4,#5,#6"
"13.04.2021";"3.5h";"Test implementation, research testing and documentation tools"
"14.04.2021";"2h";"Get automated documentation to work, read surveys"
"19.04.2021";"1.5h";"Updates on issue #5"
"20.04.2021";"4h";"Updates on issues #5 and #10, read surveys"
"23.04.2021";"3.5h";"Read surveys"
"27.04.2021";"2h";"Read surveys"
"28.04.2021";"4.5h";"Read surveys"
"29.04.2021";"1.5h";"Issue #5, update module structure"
"04.05.2021";"4h";"Issues #7 and #8, read papers"
"05.05.2021";"1.5h";"Issues #7,#8,#9"
"06.05.2021";"1h";"Issues #7,#8"
"10.05.2021";"1h";"Issues #7,#11,#12"
"12.05.2021";"3.5h";"Issues #7,#11,#12"
"16.05.2021";"1.5h";"Issues #7,#11,#12"
"17.05.2021";"2.5h";"Issues #7,#11,#12"
"19.05.2021";"3.5h";"Issues #7,#9,#11,#12"
"24.05.2021";"3h";"Issues #7,#9,#11,#12"
"26.05.2021";"1h";"Issues #7,#9,#11,#12"
"27.05.2021";"1h";"Issues #7,#10"
"28.05.2021";"2h";"Issue #10"
"31.05.2021";"1.5h";"Issue #10"
"01.06.2021";"2.5h";"Issue #10"
"16.06.2021";"1.5h";"Issue #13"
"23.06.2021";"3h";"Issues #13,#14,#15"
"30.06.2021";"3h";"Issues #14,#15"
"06.07.2021";"4.5h";"Issues #16,#17"
"09.07.2021";"1.5h";"Issues #16,#17"
"12.07.2021";"3h";"Issues #16,#17"
"13.07.2021";"2h";"Issue #17"
"31.07.2021";"1h";"Issue #17"
"02.08.2021";"1h";"Issue #17"
"03.08.2021";"3.5h";"Issue #17"
"04.08.2021";"2.5h";"Issue #17"
"05.08.2021";"1h";"Issue #17"
"08.08.2021";"5h";"Issue #17"
"09.08.2021";"1h";"Issue #17"
"15.08.2021";"3h";"Issues #17,#21"
"16.08.2021";"3.5h";"Issues #21,#22"
"17.08.2021";"2h";"Issue #22"
"18.08.2021";"2h";"Issue #22"
"20.08.2021";"2.5h";"Issue #22"
"21.08.2021";"3h";"Issue #22, update issues"
"22.08.2021";"2h";"Issue #12"
"25.08.2021";"2.5h";"Issue #12"
"26.08.2021";"1.5h";"Issues #18,#15"
"06.09.2021";"2.5h";"Issue #10"
"09.09.2021";"1h";"Presentation preparation"
"15.09.2021";"1h";"Style guide/standard research"
"02.10.2021";"2h";"Issue #10"
"03.10.2021";"3.5h";"Issue #10"
"04.10.2021";"2h";"Issues #10,#32,#38"
